"NO","v1","v2","r2","v3","r3","","","","","",""
"116","1","2.25","0.083333","2.4","0.208333","","","","","",""
"117","1","1.285714","0.166667","3","0.291667","","","","","",""
"118","1","2.25","0.166667","3","0.208333","","","","","",""
"119","1","1.285714","0.208333","2.4","0.125","","","","","",""
"120","1","2.25","0.166667","2.4","0.25","","","","","",""
"121","1","3","0.208333","3","0.125","","","","","",""
"122","1","1.285714","0.166667","4","0.125","","","","","",""
"123","1","1.285714","0.333333","2.4","0.166667","","","","","",""
"124","1","2.25","0.208333","2.4","0.208333","","","","","",""
"125","1","3","0.166667","2","0.166667","","","","","",""
"126","1","1.8","0.25","3","0.166667","","","","","",""
"127","1","2.25","0.208333","2.4","0.208333","","","","","",""
"128","1","1.285714","0.166667","3","0.166667","","","","","",""
"129","1","1.285714","0.166667","4","0.125","","","","","",""
"130","1","2.25","0.083333","2","0.208333","","","","","",""
"131","1","1.5","0.083333","2.4","0.166667","","","","","",""
"132","1","1.5","0.083333","2.4","0.208333","","","","","",""
"133","1","1.5","0.208333","2","0.166667","","","","","",""
"134","1","3","0.125","3","0.166667","","","","","",""
"135","1","2.25","0.166667","3","0.166667","","","","","",""
"136","1","1.8","0.291667","2","0.125","","","","","",""
"137","1","3","0.166667","2","0.125","","","","","",""
"138","1","3","0.166667","2.4","0.083333","","","","","",""
"139","1","2.25","0.0833333","4","0.083333","","","","","",""
"140","1","2.25","0.208333","3","0.166667","","","","","",""
"141","1","3","0.208333","2","0.25","","","","","",""
"142","1","2.25","0.166667","2","0.125","","","","","",""
"143","1","3","0.25","3","0.166667","","","","","",""
"144","1","1.8","0.291667","3","0.083333","","","","","",""
"145","1","1.285714","0.166667","4","0.083333","","","","","",""
"146","1","3","0.083333","2.4","0.166667","","","","","",""
"147","1","2.25","0.166667","3","0.125","","","","","",""
"148","1","1.8","0.291667","3","0.166667","","","","","",""
"149","1","3","0.166667","2.4","0.166667","","","","","",""
"150","1","1.5","0.333333","4","0.166667","","","","","",""
"151","1","2.25","0.166667","2.4","0.25","","","","","",""
"152","1","3","0.166667","3","0.125","","","","","",""
"153","1","2.25","0.0833333","2","0.208333","","","","","",""
"154","1","3","0.125","2.4","0.166667","","","","","",""
"155","1","2.25","0.208333","2.4","0.208333","","","","","",""
"156","1","3","0.208333","2","0.125","","","","","",""
"157","1","2.25","0.166667","2.4","0.083333","","","","","",""
